category,channel_name,channel_url,subscribers,avg_views_last_n
Explainer & Educational Storytelling Channels,explainitychannel,https://www.youtube.com/channel/UCOo8aKrwtWmlLUEpatJ2nyg,67200,47450
Explainer & Educational Storytelling Channels,History Skills,https://www.youtube.com/channel/UChxJrXFKqMqXWpZpxZCOWFg,42400,2638
Explainer & Educational Storytelling Channels,FilmComicsExplained,https://www.youtube.com/channel/UCisWUR5UCMcxz_4zT6mI3kA,1100000,55467
Explainer & Educational Storytelling Channels,Jaydone History,https://www.youtube.com/channel/UC-q-_DVLrAfmVApgnJTIa9A,185000,18376
Explainer & Educational Storytelling Channels,Beliv8 Motion Studio,https://www.youtube.com/channel/UCG9wEv-A7fsX_PJN6HqLgyQ,862,830
Explainer & Educational Storytelling Channels,Afridies - Animated Explainer Videos,https://www.youtube.com/channel/UC2ivsUz5M8cl3SJmYfnFlXg,549,229
Explainer & Educational Storytelling Channels,MH Explain,https://www.youtube.com/channel/UCJT5AnuRluvv7OF-xtppRGQ,2040,1466
Explainer & Educational Storytelling Channels,SenshiSquad,https://www.youtube.com/channel/UCNJzXACq-N7deA0hb_KEX9A,90500,471177
Explainer & Educational Storytelling Channels,What a Story | SaaS & Tech Product Video Experts,https://www.youtube.com/channel/UCVSKgOBZcsWZCkUb9Ajdwjw,18600,943
Explainer & Educational Storytelling Channels,Chat History,https://www.youtube.com/channel/UCicVSNyM7PMXEzdoAsTB02w,933000,608057
Explainer & Educational Storytelling Channels,Domain Aniki,https://www.youtube.com/channel/UCeB-3V4WMcgXg2cNLXWAQLA,268000,102862
Explainer & Educational Storytelling Channels,Burnwe,https://www.youtube.com/channel/UCt5EnKFPuiqZk4t_9lhxzFg,8550,971
Explainer & Educational Storytelling Channels,Sebastian Buckeridge | Product Explainer Videos,https://www.youtube.com/channel/UCN0Hj-CidYjUu3c3kH_tJrw,414,325
Explainer & Educational Storytelling Channels,Broadcast2World - Animated Video Production Agency,https://www.youtube.com/channel/UCi-XXmTLxz70wlScyo4V3Hg,8020,312
Explainer & Educational Storytelling Channels,Theology Academy - Christianity,https://www.youtube.com/channel/UCq7kcinj-b9d57THam2QOBQ,114000,1341
Explainer & Educational Storytelling Channels,XPLAI,https://www.youtube.com/channel/UCUZUsWPZKeRBnn3CsbCH7oQ,2390,412
Explainer & Educational Storytelling Channels,Boring Motion,https://www.youtube.com/channel/UC2JD2wf-i7jxZcypkCoAhCw,4430,73
Explainer & Educational Storytelling Channels,Yum Yum Videos | Animated Explainer Videos,https://www.youtube.com/channel/UC64S16WTjLTLOrRxsHLRZ9A,29600,3196
Explainer & Educational Storytelling Channels,Phyo Fox,https://www.youtube.com/channel/UCg3YX_vLUnl_0OglPaOBiaA,3260,974
Explainer & Educational Storytelling Channels,Zelios - Animated Video Production,https://www.youtube.com/channel/UCCgZWAH50tZqFH2NxR8t2FQ,10900,50286
Explainer & Educational Storytelling Channels,Rued Riis,https://www.youtube.com/channel/UChRuw5GXX_lfdY_Kdl2bC4Q,30800,19038
Explainer & Educational Storytelling Channels,Spiel Creative,https://www.youtube.com/channel/UC_IaXo07ZLCfQcvuDAB9wVw,18600,11018
Explainer & Educational Storytelling Channels,Kristina ExplainersEasy,https://www.youtube.com/channel/UCXHeIKC5_mug9Cr2VlMRS1g,9390,1614
Explainer & Educational Storytelling Channels,Hocus Pocus Studio | Animation Studio London,https://www.youtube.com/channel/UC4biOZ1ZNpwJra7S-_8L0iw,401,1602
Explainer & Educational Storytelling Channels,NeurOptimal® Neurofeedback Systems,https://www.youtube.com/channel/UCTM_D2Tv5q04nQtvsLr4u9Q,4280,1419
Explainer & Educational Storytelling Channels,sergen cömert,https://www.youtube.com/channel/UCA0CPK-L8D6sxpCK_Bbm5Rw,6,54
